player_id,player_name,position,position_group,team_id,team_name,match_outcome,avg_option_creation_rating,playing_time,avg_zone_coverage,avg_pass_line_blocking,avg_space_control_rating
771861,Zane William Schreiber,Defensive Midfield,Midfield,2380,Melbourne City FC,D,0.03705128803554287,76.15666666666667,0.005571869035383937,0.037083394508882685,0.021327631772133312
51051,Callum Talbot,Right Back,Full Back,2380,Melbourne City FC,D,0.030451429957571604,98.10666666666665,0.0217412966967731,0.01916811545039506,0.02045470607358408
771857,Harry Politidis,Left Forward,Wide Attacker,2380,Melbourne City FC,D,0.022968124450085444,76.15666666666667,0.003959689391344068,0.04038279580417299,0.02217124259775853
50992,Kai Trewin,Right Center Back,Central Defender,2380,Melbourne City FC,D,0.02416547528803716,98.10666666666665,0.05676864690667006,0.020284739006911755,0.038526692956790905
795151,Medin Memeti,Center Forward,Center Forward,2380,Melbourne City FC,D,0.024020995577243402,89.735,0.0063731464554133655,0.05449566176257218,0.03043440410899277
22937,Yonatan Cohen,Right Forward,Wide Attacker,2380,Melbourne City FC,D,0.025260469857326433,38.723333333333336,0.0019396232013054442,0.02024829402165851,0.011093958611481977
9520,Samuel Souprayen,Left Center Back,Central Defender,2380,Melbourne City FC,D,0.022638583914025456,98.10666666666665,0.02827221797810033,0.013043954955719663,0.020658086466909996
771859,Patrick Beach,Goalkeeper,Other,2380,Melbourne City FC,D,0.01896274580819225,98.10666666666665,0.0,0.0004332866063463744,0.0002166433031731872
104563,Nathaniel Atkinson,Right Midfield,Midfield,2380,Melbourne City FC,D,0.032246289700237914,98.10666666666665,0.0038163912606374688,0.04763356130439092,0.025724976282514196
11891,Aziz Eraltay Behich,Left Back,Full Back,2380,Melbourne City FC,D,0.030167000925432116,98.10666666666665,0.002285544672009498,0.011175069612291338,0.006730307142150418
795511,Nathan Paull,Left Center Back,Central Defender,870,Central Coast Mariners Football Club,D,0.01155862865655836,98.10666666666665,0.008664924597567084,0.012687758413147013,0.010676341505357049
795508,Harrison Steele,Left Midfield,Midfield,870,Central Coast Mariners Football Club,D,0.01876076900123391,86.81333333333333,0.007533137865738196,0.037212143424347935,0.022372640645043067
51039,Noah Smith,Left Wing Back,Full Back,870,Central Coast Mariners Football Club,D,0.010365178021024319,56.71333333333334,0.010800012939958591,0.012732919254658385,0.011766466097308487
51668,Alou Kuol,Center Forward,Center Forward,870,Central Coast Mariners Football Club,D,0.009507307587714496,98.10666666666665,0.009393279774995138,0.0386966473677124,0.024044963571353772
51681,Steven Ugarković,Left Midfield,Midfield,2380,Melbourne City FC,D,0.03255116314886596,98.10666666666665,0.006163526016467192,0.044737288854935914,0.025450407435701553
10549,Trent Sainsbury,Right Center Back,Central Defender,870,Central Coast Mariners Football Club,D,0.011531121709478412,76.15666666666667,0.006405117270788912,0.016537787254205162,0.011471452262497038
34423,Antonio Mikael Rodrigues Brito,Left Winger,Wide Attacker,870,Central Coast Mariners Football Club,D,0.010158951726864427,98.10666666666665,0.0030566583675391964,0.017537514299172333,0.010297086333355765
808609,Bailey Brandtman,Right Winger,Wide Attacker,870,Central Coast Mariners Football Club,D,0.012829821011876023,48.265,0.0028545826932923706,0.03619416032870006,0.019524371510996216
29856,Alfie McCalmont,Right Midfield,Midfield,870,Central Coast Mariners Football Club,D,0.014329382210812047,98.10666666666665,0.006172092189041341,0.03748206438884404,0.021827078288942692
23930,Storm  Roux,Right Wing Back,Full Back,870,Central Coast Mariners Football Club,D,0.01091611637086428,98.10666666666665,0.02248994858458135,0.02182352853256808,0.022156738558574716
795510,Brian Kaltak,Center Back,Central Defender,870,Central Coast Mariners Football Club,D,0.010421038538662039,98.10666666666665,0.07653853914447134,0.017640981376857084,0.047089760260664214
923862,Dylan Peraic-Cullen,Goalkeeper,Other,870,Central Coast Mariners Football Club,D,0.0077982654187549495,98.10666666666665,0.0,0.0006412848158131177,0.00032064240790655884
771856,Benjamin Mazzeo,Right Forward,Wide Attacker,2380,Melbourne City FC,D,0.01976079647596382,98.10666666666665,0.004355943816375471,0.032537398652506565,0.018446671234441017
795509,Christian Theoharous,Left Winger,Wide Attacker,870,Central Coast Mariners Football Club,D,0.012392523208022619,98.10666666666665,0.004721849616215812,0.0337371450927789,0.019229497354497357
795515,Will Wilson,Right Winger,Wide Attacker,870,Central Coast Mariners Football Club,D,0.01540411920194189,98.10666666666665,0.0030985246859479994,0.06371603856266433,0.033407281624306166
330380,Diesel Herrington,Right Center Back,Central Defender,870,Central Coast Mariners Football Club,D,0.007467049022733336,98.10666666666665,0.004247271825396825,0.022081384637188207,0.013164328231292516
963054,Kavian Rahmani,Left Forward,Wide Attacker,2380,Melbourne City FC,D,0.02489250983685679,98.10666666666665,0.011746031746031746,0.04751587301587302,0.029630952380952383
114464,Germán Julio César Ferreyra,Right Center Back,Central Defender,2380,Melbourne City FC,D,0.01838347727201428,98.10666666666665,0.11555555555555555,0.020026455026455028,0.06779100529100529
923864,Haine Anthony Eames,Left Midfield,Midfield,870,Central Coast Mariners Football Club,D,0.0043435785620549545,98.10666666666665,0.007220921155347385,0.045668748373666405,0.026444834764506896
972981,Michael Ghossaini,Center Forward,Center Forward,2380,Melbourne City FC,D,0.023373907735544094,98.10666666666665,0.014814814814814815,0.09344503233392121,0.05412992357436801
